# x y rho rho*u rho*v rho*E
   0.0765737    0.0421151      1.43434     0.840979     0.182944      6.71003
   0.0824372    0.0433362      1.42464     0.851306     0.173538      6.63782
   0.0886012    0.0445377      1.41545     0.861022     0.164254      6.56915
   0.0950763    0.0457172      1.40665     0.870162     0.155116      6.50314
    0.101874    0.0468722      1.39816       0.8787     0.146118      6.43937
    0.108996    0.0479985      1.39006     0.886654     0.137198      6.37841
    0.116447    0.0490926       1.3825     0.894072     0.128343      6.32096
    0.124234    0.0501512      1.37545     0.900963     0.119604      6.26685
    0.132368    0.0511714      1.36885     0.907342     0.110998      6.21568
    0.140859    0.0521502      1.36266     0.913213     0.102523      6.16726
    0.149725     0.053085      1.35688      0.91857    0.0941778      6.12153
    0.158968    0.0539717      1.35149     0.923412    0.0859675      6.07844
    0.168565    0.0548039      1.34643     0.927751    0.0778993      6.03771
    0.178531    0.0555791      1.34163     0.931603    0.0699832      5.99886
    0.188887    0.0562951        1.337     0.934981    0.0622265      5.96145
    0.199635     0.056948      1.33251     0.937889     0.054635      5.92529
    0.210738    0.0575321      1.32815     0.940317    0.0472165      5.89033
    0.222223    0.0580457      1.32392     0.942238    0.0399788      5.85671
    0.234102    0.0584863      1.31989     0.943634    0.0329257      5.82474
    0.246325    0.0588491      1.31609     0.944497    0.0260613      5.79474
    0.258924    0.0591327      1.31256     0.944838    0.0193966      5.76695
    0.271883    0.0593346      1.30932      0.94469     0.012943      5.74146
    0.285171    0.0594526      1.30639     0.944098   0.00670664      5.71834
    0.298816    0.0594854      1.30377     0.943121  0.000696782      5.69761
    0.312761    0.0594319      1.30147     0.941832  -0.00508497      5.67926
    0.327031    0.0592911      1.29949     0.940306   -0.0106368      5.66327
    0.341575    0.0590634      1.29783     0.938615   -0.0159564      5.64963
    0.356403    0.0587486      1.29651      0.93682   -0.0210469      5.63838
    0.371473     0.058348      1.29554     0.934969   -0.0259135       5.6296
    0.386781    0.0578623      1.29494     0.933106   -0.0305612      5.62332
     0.40229    0.0572941      1.29469     0.931266   -0.0349974      5.61947
    0.417988    0.0566449      1.29477     0.929484   -0.0392301      5.61786
    0.433837    0.0559182      1.29513     0.927788   -0.0432654      5.61817
    0.449823    0.0551164      1.29571     0.926197   -0.0471106      5.62001
    0.465908    0.0542437      1.29643     0.924717   -0.0507714      5.62297
    0.482073    0.0533033      1.29725     0.923348   -0.0542563      5.62663
    0.498282       0.0523      1.29809      0.92208   -0.0575722      5.63061
     0.51451    0.0512378      1.29891     0.920898    -0.060725      5.63456
    0.530727    0.0501215      1.29964     0.919777   -0.0637218      5.63818
    0.546904    0.0489558      1.30027     0.918686   -0.0665678      5.64127
    0.563011    0.0477457      1.30078      0.91759   -0.0692689      5.64375
    0.579024    0.0464958      1.30117     0.916456   -0.0718318       5.6456
    0.594908    0.0452117      1.30145     0.915255   -0.0742612      5.64686
    0.610649    0.0438975      1.30162     0.913968   -0.0765635      5.64752
    0.626203    0.0425592      1.30168     0.912577   -0.0787452       5.6476
    0.641569    0.0411998      1.30165     0.911073   -0.0808138      5.64716
    0.656696    0.0398263      1.30153     0.909459   -0.0827757      5.64624
    0.671593    0.0384405      1.30132     0.907747   -0.0846371      5.64484
    0.686209    0.0370496      1.30101     0.905948   -0.0864056      5.64288
    0.700559    0.0356544      1.30061      0.90407   -0.0880871      5.64036
    0.714587    0.0342626      1.30013     0.902119   -0.0896893      5.63736
    0.728322    0.0328737      1.29957     0.900113   -0.0912195      5.63396
    0.741707    0.0314954      1.29894     0.898075   -0.0926851      5.63012
    0.754768    0.0301271      1.29823     0.896025   -0.0940899      5.62587
    0.767474     0.028774      1.29746     0.893983   -0.0954367      5.62121
    0.779812    0.0274393      1.29662     0.891957   -0.0967318      5.61616
    0.791807    0.0261221      1.29573     0.889951   -0.0979771      5.61083
    0.803406    0.0248301      1.29481      0.88796   -0.0991748      5.60533
    0.814655    0.0235596      1.29389     0.885977    -0.100327      5.59981
    0.825531    0.0223151        1.293     0.883996    -0.101436      5.59447
    0.836007    0.0211011      1.29216     0.882008    -0.102503      5.58948
    0.846138    0.0199128      1.29142     0.880003    -0.103525      5.58508
    0.855899    0.0187545      1.29082     0.877965    -0.104504      5.58156
    0.865266    0.0176303      1.29041     0.875866    -0.105436      5.57921
     0.87429    0.0165355      1.29027     0.873667    -0.106319      5.57842
    0.882968    0.0154718      1.29046     0.871318    -0.107147      5.57972
    0.891282    0.0144426      1.29109     0.868756    -0.107906      5.58365
    0.899232    0.0134489      1.29225     0.865886    -0.108583      5.59084
     0.90687    0.0124855       1.2941     0.862571    -0.109166      5.60221
    0.914188    0.0115543      1.29684     0.858656    -0.109634      5.61904
    0.921177    0.0106573      1.30068     0.854003    -0.109968      5.64255
    0.927834   0.00979592      1.30577     0.848492    -0.110151      5.67382
    0.934199   0.00896602      1.31225     0.842029     -0.11017      5.71364
    0.940285   0.00816656      1.32018     0.834553     -0.11001      5.76252
    0.946093   0.00739817      1.32956     0.826051    -0.109678      5.82061
     0.95162   0.00666186      1.33994     0.816305    -0.109286      5.88538
    0.961858   0.00528489      1.35206     0.804534     -0.10883      5.96164
    0.971168   0.00401781       1.3666     0.790423    -0.108081      6.05427
    0.979529   0.00286746      1.38191     0.774234    -0.106801      6.15406
