# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
    0.449823    0.0551164      1.33309     0.919022   -0.0469763      5.84179
    0.465908    0.0542437      1.33212     0.917511   -0.0506429      5.83515
    0.482073    0.0533033        1.331     0.915958     -0.05412      5.82768
    0.498282       0.0523      1.32972     0.914362   -0.0574137      5.81928
     0.51451    0.0512378      1.32825     0.912721   -0.0605298      5.80988
    0.530727    0.0501215      1.32661     0.911027   -0.0634759      5.79946
    0.546904    0.0489558      1.32479     0.909271   -0.0662584      5.78808
    0.563011    0.0477457      1.32283      0.90744   -0.0688848      5.77587
    0.579024    0.0464958      1.32076     0.905527   -0.0713633      5.76304
    0.594908    0.0452117      1.31861     0.903529   -0.0737004      5.74977
    0.610649    0.0438975      1.31641     0.901448   -0.0759046      5.73627
    0.626203    0.0425592       1.3142     0.899292   -0.0779861      5.72268
    0.641569    0.0411998      1.31199     0.897081   -0.0799543      5.70918
    0.656696    0.0398263       1.3098     0.894837    -0.081817       5.6959
    0.671593    0.0384405      1.30767     0.892586    -0.083583       5.6829
    0.686209    0.0370496      1.30558     0.890351   -0.0852627      5.67022
    0.700559    0.0356544      1.30354     0.888148   -0.0868637      5.65792
    0.714587    0.0342626      1.30158     0.885991   -0.0883941      5.64604
    0.728322    0.0328737      1.29968     0.883896   -0.0898624      5.63462
    0.741707    0.0314954      1.29786      0.88188   -0.0912765      5.62365
    0.754768    0.0301271      1.29611     0.879955   -0.0926404      5.61311
    0.767474     0.028774      1.29443     0.878126   -0.0939566      5.60301
    0.779812    0.0274393      1.29281      0.87639   -0.0952316      5.59333
    0.791807    0.0261221      1.29127      0.87474   -0.0964667       5.5841
    0.803406    0.0248301       1.2898     0.873164   -0.0976632      5.57532
    0.814655    0.0235596       1.2884     0.871647   -0.0988222      5.56701
    0.825531    0.0223151      1.28709     0.870181   -0.0999469      5.55919
    0.836007    0.0211011      1.28586     0.868757    -0.101039      5.55187
    0.846138    0.0199128      1.28471     0.867369    -0.102097      5.54509
    0.855899    0.0187545      1.28366     0.866013    -0.103122      5.53887
    0.865266    0.0176303      1.28271     0.864673    -0.104113      5.53328
     0.87429    0.0165355      1.28189     0.863327    -0.105072      5.52845
    0.882968    0.0154718      1.28124     0.861941    -0.105993      5.52466
    0.891282    0.0144426      1.28082     0.860467    -0.106868      5.52231
    0.899232    0.0134489      1.28073     0.858832    -0.107686      5.52185
     0.90687    0.0124855      1.28106     0.856926    -0.108439      5.52404
    0.914188    0.0115543      1.28201     0.854608    -0.109108      5.52995
    0.921177    0.0106573      1.28379     0.851725    -0.109668      5.54084
    0.927834   0.00979592       1.2866     0.848113    -0.110099      5.55805
    0.934199   0.00896602      1.29065      0.84361    -0.110381      5.58287
    0.940285   0.00816656      1.29614     0.838071    -0.110487      5.61649
    0.946093   0.00739817      1.30319     0.831395    -0.110414      5.65985
     0.95162   0.00666186      1.31156     0.823324    -0.110273       5.7116
    0.961858   0.00528489      1.32193     0.813092    -0.110054      5.77635
    0.971168   0.00401781      1.33496     0.800297     -0.10951      5.85863
    0.979529   0.00286746      1.34917     0.785064    -0.108385      5.95057
    0.987085   0.00181761      1.36162     0.766694    -0.105919      6.03629
    0.993899  0.000862226      1.37318     0.745452   -0.0947493      6.12626
      1.0014  6.04128e-07      1.38789     0.733553 -0.000131611      6.23999
    0.994129  -0.00229329      1.37844     0.744118    0.0896549      6.15907
    0.987311  -0.00329283      1.36353     0.765103     0.104011      6.04831
     0.97976  -0.00439562      1.35058     0.783494     0.107888      5.95925
    0.971356  -0.00561047      1.33711     0.798582     0.109337      5.87182
    0.962102  -0.00693342      1.32508     0.810878     0.110011      5.79566
    0.957089  -0.00764353      1.31486      0.82082     0.110527       5.7319
    0.951817  -0.00838564      1.30606      0.82909     0.110981      5.67749
