x y rho u v p
0.417988 0.056645 1.386969 0.849602 -0.009360 6.169637
0.433837 0.055918 1.385661 0.849515 -0.010303 6.161695
0.449823 0.055116 1.384415 0.849424 -0.011203 6.154144
0.465908 0.054244 1.383230 0.849331 -0.012060 6.146978
0.482073 0.053303 1.382102 0.849235 -0.012875 6.140179
0.498282 0.052300 1.381032 0.849139 -0.013649 6.133744
0.514510 0.051238 1.380019 0.849042 -0.014382 6.127667
0.530727 0.050121 1.379059 0.848945 -0.015077 6.121919
0.546904 0.048956 1.378147 0.848849 -0.015737 6.116468
0.563011 0.047746 1.377279 0.848753 -0.016366 6.111294
0.579024 0.046496 1.376453 0.848659 -0.016964 6.106375
0.594908 0.045212 1.375644 0.848564 -0.017550 6.101567
0.610649 0.043897 1.374817 0.848468 -0.018150 6.096645
0.626203 0.042559 1.373975 0.848369 -0.018760 6.091636
0.641569 0.041200 1.373147 0.848271 -0.019361 6.086711
0.656696 0.039826 1.372341 0.848173 -0.019946 6.081926
0.671593 0.038440 1.371557 0.848076 -0.020516 6.077273
0.686209 0.037050 1.370789 0.847979 -0.021073 6.072724
0.700559 0.035654 1.369990 0.847880 -0.021654 6.067982
0.714587 0.034263 1.369110 0.847774 -0.022295 6.062747
0.728322 0.032874 1.368189 0.847663 -0.022966 6.057266
0.741707 0.031495 1.367272 0.847552 -0.023635 6.051808
0.754768 0.030127 1.366359 0.847441 -0.024300 6.046381
0.767474 0.028774 1.365452 0.847328 -0.024962 6.040988
0.779812 0.027439 1.364549 0.847215 -0.025622 6.035621
0.791807 0.026122 1.363633 0.847100 -0.026292 6.030172
0.803406 0.024830 1.362639 0.846978 -0.027020 6.024256
0.814655 0.023560 1.361535 0.846846 -0.027829 6.017672
0.825531 0.022315 1.360376 0.846708 -0.028679 6.010755
0.836007 0.021101 1.359207 0.846567 -0.029538 6.003778
0.846138 0.019913 1.358031 0.846424 -0.030403 5.996760
0.855899 0.018754 1.356848 0.846280 -0.031273 5.989706
0.865266 0.017630 1.355662 0.846134 -0.032147 5.982628
0.874290 0.016536 1.354472 0.845986 -0.033025 5.975527
0.882968 0.015472 1.353280 0.845837 -0.033905 5.968416
0.891282 0.014443 1.352091 0.845688 -0.034784 5.961318
0.899232 0.013449 1.350849 0.845533 -0.035703 5.953906
0.906870 0.012486 1.349486 0.845366 -0.036713 5.945754
0.914188 0.011554 1.348041 0.845190 -0.037786 5.937104
0.921177 0.010657 1.346578 0.845011 -0.038873 5.928349
0.927834 0.009796 1.345109 0.844830 -0.039967 5.919552
0.934199 0.008966 1.343632 0.844647 -0.041068 5.910702
0.940285 0.008167 1.342150 0.844463 -0.042174 5.901825
0.946093 0.007398 1.340661 0.844282 -0.043288 5.892901
0.951620 0.006662 1.338812 0.844048 -0.044673 5.881814
0.961858 0.005285 1.336259 0.843722 -0.046587 5.866504
0.971168 0.004018 1.333369 0.843358 -0.048762 5.849155
0.979529 0.002867 1.330528 0.842995 -0.050905 5.832097
0.987085 0.001818 1.327530 0.842784 -0.053204 5.814060
0.993899 0.000862 1.315128 0.840643 -0.062267 5.738978
1.001400 0.000001 1.340840 0.842732 0.000092 5.897628
0.994129 -0.002293 1.349637 0.844382 0.035891 5.947774
0.987311 -0.003293 1.359610 0.846071 0.028894 6.007810
0.979760 -0.004396 1.361487 0.846201 0.027525 6.019074
0.971356 -0.005610 1.363185 0.846406 0.026304 6.029207
0.962102 -0.006933 1.364701 0.846591 0.025215 6.038256
0.957089 -0.007644 1.365799 0.846724 0.024427 6.044804
0.951817 -0.008386 1.366681 0.846827 0.023792 6.050071
0.946302 -0.009157 1.367559 0.846931 0.023163 6.055305
0.940521 -0.009959 1.368433 0.847035 0.022536 6.060515
0.934453 -0.010796 1.369302 0.847138 0.021913 6.065700
0.928076 -0.011668 1.370167 0.847240 0.021293 6.070857
0.921390 -0.012575 1.371024 0.847341 0.020679 6.075969
0.914413 -0.013514 1.371872 0.847440 0.020072 6.081021
0.907124 -0.014486 1.372705 0.847537 0.019476 6.085985
0.899498 -0.015493 1.373489 0.847630 0.018915 6.090656
0.891511 -0.016527 1.374200 0.847715 0.018407 6.094883
0.883197 -0.017593 1.374876 0.847796 0.017924 6.098903
0.874548 -0.018691 1.375551 0.847877 0.017442 6.102915
0.865530 -0.019824 1.376224 0.847957 0.016962 6.106914
0.856128 -0.020993 1.376892 0.848037 0.016484 6.110891
