TITLE = "Wall boundary" 
VARIABLES = "X" "Y" 
Zone T = "Airfoil" 
DT=(DOUBLE DOUBLE)
0.285171 0.0594526
0.285171 0.0594526
0.298816 0.0594854
0.298816 0.0594854
0.312761 0.0594319
0.312761 0.0594319
0.327031 0.0592911
0.327031 0.0592911
0.341575 0.0590634
0.341575 0.0590634
0.356403 0.0587486
0.356403 0.0587486
0.371473 0.058348
0.371473 0.058348
0.386781 0.0578623
0.386781 0.0578623
0.40229 0.0572941
0.40229 0.0572941
0.417988 0.0566449
0.417988 0.0566449
0.433837 0.0559182
0.433837 0.0559182
0.449823 0.0551164
0.449823 0.0551164
0.465908 0.0542437
0.465908 0.0542437
0.482073 0.0533033
0.482073 0.0533033
0.498282 0.0523
0.498282 0.0523
0.51451 0.0512378
0.51451 0.0512378
0.530727 0.0501215
0.530727 0.0501215
0.546904 0.0489558
0.546904 0.0489558
0.563011 0.0477457
0.563011 0.0477457
0.579024 0.0464958
0.579024 0.0464958
0.594908 0.0452117
0.594908 0.0452117
0.610649 0.0438975
0.610649 0.0438975
0.626203 0.0425592
0.626203 0.0425592
0.641569 0.0411998
0.641569 0.0411998
0.656696 0.0398263
0.656696 0.0398263
0.671593 0.0384405
0.671593 0.0384405
0.686209 0.0370496
0.686209 0.0370496
0.700559 0.0356544
0.700559 0.0356544
0.714587 0.0342626
0.714587 0.0342626
0.728322 0.0328737
0.728322 0.0328737
0.741707 0.0314954
0.741707 0.0314954
0.754768 0.0301271
0.754768 0.0301271
0.767474 0.028774
0.767474 0.028774
0.779812 0.0274393
0.779812 0.0274393
0.791807 0.0261221
0.791807 0.0261221
0.803406 0.0248301
0.803406 0.0248301
0.814655 0.0235596
0.814655 0.0235596
0.825531 0.0223151
0.825531 0.0223151
0.836007 0.0211011
0.836007 0.0211011
0.846138 0.0199128
0.846138 0.0199128
0.855899 0.0187545
0.855899 0.0187545
0.865266 0.0176303
0.865266 0.0176303
0.87429 0.0165355
0.87429 0.0165355
0.882968 0.0154718
0.882968 0.0154718
0.891282 0.0144426
0.891282 0.0144426
0.899232 0.0134489
0.899232 0.0134489
0.90687 0.0124855
0.90687 0.0124855
0.914188 0.0115543
0.914188 0.0115543
0.921177 0.0106573
0.921177 0.0106573
0.927834 0.00979592
0.927834 0.00979592
0.934199 0.00896602
0.934199 0.00896602
0.940285 0.00816656
0.940285 0.00816656
0.946093 0.00739817
0.946093 0.00739817
0.95162 0.00666186
0.95162 0.00666186
0.961858 0.00528489
0.961858 0.00528489
0.971168 0.00401781
0.971168 0.00401781
0.979529 0.00286746
0.979529 0.00286746
0.987085 0.00181761
0.987085 0.00181761
0.993899 0.000862226
